"Título","Percentual de unidades que contam com ala/cela exclusiva para população indígena, por UF"
"Unidade","Percentual de unidades com ala/cela exclusiva para população indígena"
"Fonte","Levantamento de Informações Penitenciárias - Ministério da Justiça, Junho de 2016."
"Fonte link",""
"Notas","O gráfico acima considera as unidades que contam seções ou módulos autônomos, incorporados ou anexos aos estabelecimentos, ou celas exclusivas destinadas a abrigar as pessoas indígenas privadas de liberdade."
"",""
"Unidade da Federação","percentual com ala/cela para indígenas"
"AC","8,33"
"AL","0"
"AM","0"
"AP","0"
"BA","4,35"
"CE","0"
"DF","0"
"ES","0"
"GO","0,94"
"MA","0"
"MG","0"
"MS","4,35"
"MT","0"
"PA","0"
"PB","0"
"PE","1,25"
"PI","0"
"PR","2,94"
"RJ","0"
"RN","0"
"RO","1,89"
"RR","0"
"RS","1,01"
"SC","0"
"SE","0"
"SP","1,83"
"TO","0"
