"Título","Taxa de encarceramento dos quatro países com a maior população prisional desde 2005"
"Unidade","Número de pessoas presas a cada 100 mil habitantes","","",""
"Fonte","World Prision Brief, Institute for Criminal Policy Research.","","",""
"Fonte link","http://www.prisonstudies.org/","","",""
"Notas","A ONU possui indicador de referência da taxa máxima de encarceramento de 110 pessoas presas a cada 100 mil habitantes.; Os dados consideram a soma das populações custodiadas nas unidades prisionais do sistema penitenciário estadual (estabelecimentos penais geridos pelos estados ou por modelos de parceria entre a gestão estadual e entidades privadas, normalmente inseridos na estrutura das Secretarias de Justiça e Administração Prisional) e as pessoas custodiadas em carceragens de delegacias ou outros espaços de custódia geridos pelos órgãos da segurança pública estadual.","","",""
"","","","",""
"Ano","EUA","China","Rússia","Brasil"
"1992","501","","487","74"
"1993","","","",""
"1994","","","",""
"1995","592","109","622","92"
"1996","","","",""
"1997","","","","102"
"1998","655","115","688",""
"1999","","","",""
"2000","","","",""
"2001","685","112","636","133"
"2002","","","",""
"2003","","","",""
"2004","725","122","588","183"
"2005","","","",""
"2006","","","",""
"2007","758","124","613","220"
"2008","","","",""
"2009","","","",""
"2010","","123","609","253"
"2011","","","",""
"2012","707","","","287"
"2013","","121","",""
"2014","693","119","471","307"
"2015","666","118","",""
"2016","","","448","313"
"2017","","","433","316"
