Título,Evolução da População Prisional Brasileira
Unidade,População carcerária (mil pessoas)
Fonte,Ministério da Justiça (1990-2015) e Levantamento de Informações Penitenciárias - Ministério da Justiça (2005-2016)
Fonte link,
Notas,"Dados referentes ao mês de dezembro de cada ano, exceto para o ano de 2002 e 2016, em que o dado refere-se a junho.;Os dados consideram as pessoas custodiadas nas unidades do sistema prisional e nos espaços de custódia geridos pelos órgãos de segurança pública."
,
Ano,População
1990,"90,0"
1991,
1992,"114,3"
1993,"126,2"
1994,"129,2"
1995,"148,8"
1996,
1997,"170,6"
1998,
1999,"194,1"
2000,"232,8"
2001,"233,9"
2002,"239,3"
2003,"308,3"
2004,"336,4"
2005,"361,4"
2006,"401,2"
2007,"422,4"
2008,"451,4"
2009,"473,6"
2010,"496,3"
2011,"514,6"
2012,"549,8"
2013,"581,5"
2014,"622,2"
2015,"698,6"
2016,"726,7"
