"Título","Déficit de vagas por Unidade da Federação"
"Unidade","Déficit de vagas"
"Fonte","Levantamento de Informações Penitenciárias - Ministério da Justiça, Junho de 2016."
"Fonte link",""
"Notas","Não são consideradas as vagas e as pessoas custodiadas em delegacias no cálculo do total da população prisional (e número de vagas) para composição da taxa de ocupação total, visto que essas informações não estão presentes nas bases de microdados disponibilizadas pelo DEPEN."
"",""
"Unidade da Federação","Déficit"
"AC","2581"
"AL","3784"
"AM","7937"
"AP","1416"
"BA","6986"
"CE","11694"
"DF","7806"
"ES","6403"
"GO","9396"
"MA","2798"
"MG","28336"
"MS","10777"
"MT","5139"
"PA","5371"
"PB","6554"
"PE","24472"
"PI","1723"
"PR","24147"
"RJ","22534"
"RN","4627"
"RO","6400"
"RR","1130"
"RS","13398"
"SC","7731"
"SE","2787"
"SP","109083"
"TO","1537"
