"Título","Distribuição das incidências criminais por tipo penal"
"Unidade","Percentual de pessoas presas por sexo",""
"Fonte","Levantamento de Informações Penitenciárias - Ministério da Justiça, Junho de 2016.",""
"Fonte link","",""
"Notas","",""
"","",""
"Tipo penal","feminino","masculino"
"estatuto do desarmamento","1,72","5,38"
"furto","8,43","12,08"
"homicídio","6,2","11,33"
"latrocínio","1,23","2,64"
"outros","6,19","10,74"
"quadrilha","2,17","1,6"
"receptação","1,25","3,2"
"roubo","10,67","25,68"
"tráfico","62,08","26,53"
"violência doméstica","0,06","0,82"
