"Título","Porcentagem de unidades que receberam ao menos uma visita de inspeção dos órgãos nacionais e internacionais"," por UF."
"Unidade","Percentual de Unidades da UF",""
"Fonte","Levantamento de Informações Penitenciárias - Ministério da Justiça, Junho de 2016.",""
"Fonte link","",""
"Notas","",""
"","",""
"Unidade da Federação","Percentual de Unidades da UF",""
"AC","83,33",""
"AL","100",""
"AM","65",""
"AP","62,5",""
"BA","78,26",""
"CE","75,84",""
"DF","100",""
"ES","97,14",""
"GO","77,36",""
"MA","87,8",""
"MG","77,2",""
"MS","97,83",""
"MT","82,76",""
"PA","93,18",""
"PB","66,25",""
"PE","88,75",""
"PI","93,33",""
"PR","91,18",""
"RJ","96,08",""
"RN","90,91",""
"RO","94,34",""
"RR","100",""
"RS","83,84",""
"SC","97,78",""
"SE","85,71",""
"SP","98,78",""
"TO","88,1",""
