"Título","Óbitos no sistema prisional por UF"
"Unidade","Total de óbitos","","","",""
"Fonte","Levantamento de Informações Penitenciárias - Ministério da Justiça, Junho de 2016.","","","",""
"Fonte link","","","","",""
"Notas","","","","",""
"","","","","",""
"Unidade da Federação","criminal","acidente","suicidio","motivo desconhecido","natural"
"AC","100","0","0","0","0"
"AL","60","0","0","0","40"
"AM","58,33","0","0","0","41,67"
"AP","40","0","0","60","0"
"BA","13,64","4,55","18,18","22,73","40,91"
"CE","28,57","0","0","65,93","5,49"
"DF","25","0","18,75","18,75","37,5"
"ES","8,33","0","0","0","91,67"
"GO","50","0","18,18","4,55","27,27"
"MA","21,05","0","10,53","0","68,42"
"MG","38,67","2,67","10,67","4","44"
"MS","13,89","11,11","11,11","0","63,89"
"MT","11,11","0","0","0","88,89"
"PA","45,45","6,06","3,03","18,18","27,27"
"PB","55","10","10","5","20"
"PE","33,82","2,94","2,94","2,94","57,35"
"PI","46,67","6,67","0","0","46,67"
"PR","12,9","0","3,23","3,23","80,65"
"RJ","","","","",""
"RN","50","0","4,55","27,27","18,18"
"RO","25","0","8,33","0","66,67"
"RR","","","","",""
"RS","12,5","4,17","0","4,17","79,17"
"SC","3,85","3,85","0","0","92,31"
"SE","8,33","41,67","0","8,33","41,67"
"SP","3,69","0,41","6,97","4,1","84,84"
"TO","44,44","0","22,22","0","33,33"
