"Título","Evolução da população prisional brasileira de 2005 a 2014",,
"Unidade","número de pessoas presas",,
"Fonte","Ministério da Justiça (2005-2014)",,
"Fonte link",,,
"Notas","Em junho de 2006 há uma queda brusca no total da população carcerária devido a XXXXX.;Os dados de dezembro de 2013 não estão disponíveis porque o Ministério da justiça não divulgou os dados nessa data.",,
,,,
"Mês","Ano","População","Data"
12,2005,294237,"12/2005"
6,2006,183728,"6/2006"
12,2006,383480,"12/2006"
6,2007,419260,"6/2007"
12,2007,422373,"12/2007"
6,2008,440013,"6/2008"
12,2008,451219,"12/2008"
6,2009,469456,"6/2009"
12,2009,473626,"12/2009"
6,2010,494237,"6/2010"
12,2010,496251,"12/2010"
6,2011,513802,"6/2011"
12,2011,514578,"12/2011"
6,2012,549580,"6/2012"
12,2012,548000,"12/2012"
6,2013,574027,"6/2013"
12,2013,,"12/2013"
6,2014,607731,"6/2014"
12,2014,622202,"12/2014"
