"Título","Taxa de encarceramento nos quatro países com a maior população prisional desde 2005",,,,,,,,,,,,
"Unidade","Número de pessoas presas para cada 100 mil habitantes",,,,,,,,,,,,
"Fonte","World Prison Brief",,,,,,,,,,,,
"Fonte link",,,,,,,,,,,,,
"Notas","ONU possui indicador de taxa de encarceramento máxima, desde YYYY, de 110 pessoas presas para cada 100 mil habitantes.",,,,,,,,,,,,
,,,,,,,,,,,,," "
"Ano","EUA","China","Rússia","Brasil","ONU",,,,,,,,
1992,501,,487,74,110,,,,,,,,
1993,,,,,110,,,,,,,,
1994,,,,,110,,,,,,,,
1995,592,109,622,92,110,,,,,,,,
1996,,,,,110,,,,,,,,
1997,,,,102,110,,,,,,,,
1998,655,115,688,,110,,,,,,,,
1999,,,,,110,,,,,,,,
2000,,,,,110,,,,,,,,
2001,685,112,636,133,110,,,,,,,,
2002,,,,,110,,,,,,,,
2003,,,,,110,,,,,,,,
2004,725,122,588,183,110,,,,,,,,
2005,,,,,110,,,,,,,,
2006,,,,,110,,,,,,,,
2007,758,124,613,220,110,,,,,,,,
2008,,,,,110,,,,,,,,
2009,,,,,110,,,,,,,,
2010,,123,609,253,110,,,,,,,,
2011,,,,,110,,,,,,,,
2012,707,,,287,110,,,,,,,,
2013,,121,,,110,,,,,,,,
2014,693,119,471,307,110,,,,,,,,
2015,666,118,,,110,,,,,,,,
2016,,,448,,110,,,,,,,,
2017,,,433,316,110,,,,,,,,
