Título,"População prisional, por estado"
Unidade,Número de pessoas presas
Fonte,"Levantamento de Informações Penitenciárias - Ministério da Justiça, Dezembro de 2014."
Fonte link,
Notas,"Os dados consideram a soma das populações custodiadas nas unidades prisionais do sistema penitenciário estadual (estabelecimentos penais geridos pelos estados ou por modelos de parceria entre a gestão estadual e entidades privadas, normalmente inseridos na estrutura das Secretarias de Justiça e Administração Prisional); e as pessoas custodiadas em carceragens de delegacias ou outros espaços de custódia geridos pelos órgãos da segurança pública estadual."
,
Estado,População prisional
RR,1609
AP,2663
PI,3182
AC,4244
SE,4653
TO,5772
AL,5920
MA,6703
RN,7658
AM,8868
MT,10138
PB,10450
PA,12622
MS,13915
DF,14405
GO,15574
BA,15611
ES,16694
SC,16828
RO,17987
CE,21648
PE,26809
PR,28004
RS,28125
RJ,40301
MG,61392
SP,220030
BR,621805
